id,ps,dprime_h,dprime_s,n_signal,n_noise,mean_H|S,mean_H|N,mean_S|S,mean_S|N,sd_H|S,sd_H|N,sd_S|S,sd_S|N,abs_err_H|S,abs_err_H|N,abs_err_S|S,abs_err_S|N
78,0.2,1.9,0.5,24,96,0.9500000000000002,-0.9500000000000001,0.24999999999999997,-0.25000000000000006,1.0241420261157348,0.9495183898440189,1.0691718778297938,1.0024231325317958,2.220446049250313e-16,1.1102230246251565e-16,2.7755575615628914e-17,5.551115123125783e-17
79,0.2,1.9,0.7,24,96,0.9500000000000001,-0.9500000000000002,0.3500000000000001,-0.3499999999999999,0.9175700950810661,0.8587054806556476,0.7358754080198602,1.010031565148347,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17
80,0.2,1.9,0.9,24,96,0.9499999999999998,-0.9499999999999998,0.45,-0.45,1.0625632986111921,1.056400790065353,0.7786889719589298,1.0066777181533433,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
81,0.2,1.9,1.1,24,96,0.9499999999999998,-0.9499999999999998,0.5500000000000002,-0.5500000000000002,1.0018000743827995,0.9841018850360448,0.9996393823938796,0.9125630911622733,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
82,0.2,1.9,1.3,24,96,0.9500000000000001,-0.9499999999999998,0.65,-0.65,0.6755270763201663,0.9629115226749585,1.2429026213213146,0.917832227482794,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
83,0.2,1.9,1.5,24,96,0.9500000000000001,-0.9499999999999998,0.75,-0.7499999999999999,1.0470951652160558,0.9807755502323653,0.8060030443798887,0.9778898752636321,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16
84,0.2,1.9,1.7,24,96,0.9499999999999998,-0.9499999999999998,0.85,-0.85,0.6278958025268856,1.104349774649835,1.167324271154319,1.0508735372652072,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
85,0.2,1.9,1.9,24,96,0.9499999999999998,-0.9499999999999997,0.9499999999999998,-0.9499999999999998,0.8853129756345212,0.9856856646375936,1.0971422967637856,1.0351304445554628,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16
86,0.2,1.9,2.1,24,96,0.9499999999999998,-0.9500000000000001,1.0499999999999998,-1.0499999999999998,1.0063523928944638,1.0140711763074413,1.2818592973947671,0.967887523363191,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16
87,0.2,1.9,2.3,24,96,0.9499999999999998,-0.9499999999999998,1.1500000000000001,-1.15,1.105053575429019,1.030653230060286,1.0679676276258705,0.9916848102662713,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0
